material_number,material_desc_raw,product_family,product_group,product_family_sort,product_group_sort,length_m,rule_notes
000000001830800327,IND 1.00K OHM 0402 0.25A FILTER CHIP,Unclassified,Other,999.0,999.0,,
000000001830800331,FILTER CHIP 120 OHM 300MA 0402,Unclassified,Other,999.0,999.0,,
000000001830800332,FERRITE BEAD 600 OHM 300mA 0402,Unclassified,Other,999.0,999.0,,
000000001830800333,FERRITE BEAD 1K OHM 250mA 0402,Unclassified,Other,999.0,999.0,,
000000001830800335,FERRITE BEAD 120 OHM 1.5A 0402,Unclassified,Other,999.0,999.0,,
000000001830800337,FERRITE BEAD 600 OHM 1A0805,Unclassified,Other,999.0,999.0,,
000000001830800339,FILTER CHIP 120 Ohm 2A 0603,Unclassified,Other,999.0,999.0,,
000000001830800344,FERRITE CHIP 70 OHM 500MA 0402,Unclassified,Other,999.0,999.0,,
000000001830800350,CHIP FERRITE BEAD 600OHM± 25% 900MA 0402,Unclassified,Other,999.0,999.0,,
000000001830800352,FERRITE BEAD 6A 25 OHM 0805 1LN,Unclassified,Other,999.0,999.0,,
000000001830800354,FERRITE BEAD 1200OHM 100MA 0201 SMD,Unclassified,Other,999.0,999.0,,
000000001830800355,FERRITE BEAD 600 OHM 250MA 0201 SMD,Unclassified,Other,999.0,999.0,,
000000001830800356,FERRITE BEAD 80 OHM 1000MA 0201 SMD,Unclassified,Other,999.0,999.0,,
000000001830800357,FERRITE BEAD 22 OHM 1800MA 0201 SMD,Unclassified,Other,999.0,999.0,,
000000001830800359,FERRITE 10A 100 OHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800368,Pulse Toroid SMD Power INDs CMI SMT NL,Unclassified,Other,999.0,999.0,,
000000001830800372,TRANSFORMERS 7UH 500MA,Unclassified,Other,999.0,999.0,,
000000001830800378,INDUCTOR 2.2UH 30% 1.5A 88mΩ SMD,Unclassified,Other,999.0,999.0,,
000000001830800387,FIXED IND 1UH 1.6A 144 MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800392,PULSE XFMR 1CT TX 1CT RX,Unclassified,Other,999.0,999.0,,
000000001830800411,CAP-FEEDTHRU 1.5UF 25V 1806,Unclassified,Other,999.0,999.0,,
000000001830800433,FIXED IND 3.3UH 7A 27.4 MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800438,Inductor 10uH 200mA 0805,Unclassified,Other,999.0,999.0,,
000000001830800440,FERRITE BEAD 330 OHM 0201,Unclassified,Other,999.0,999.0,,
000000001830800442,IND 2.2uH 1.1A 3x3mm,Unclassified,Other,999.0,999.0,,
000000001830800443,IND 2.2uH 1.5A 4x4x1.7mm,Unclassified,Other,999.0,999.0,,
000000001830800444,IND 2.2uH 500mA 2x2.5x1,Unclassified,Other,999.0,999.0,,
000000001830800453,IC TRANSFORMER  10M-1000MHZ 1:1 SMD,Unclassified,Other,999.0,999.0,,
000000001830800462,FIXED IND 2.2UH 4.3A 40 MOHM,Unclassified,Other,999.0,999.0,,
000000001830800465,IND 4.7UH 0.05OHMS 2.5A SMD,Unclassified,Other,999.0,999.0,,
000000001830800466,Ferrite Bead 300Ohms @100MHz 0603,Unclassified,Other,999.0,999.0,,
000000001830800467,Ferrite Bead 30Ohms @100MHz 0805,Unclassified,Other,999.0,999.0,,
000000001830800481,INDUCT 3.3uH 1616 20% 6.6A SM,Unclassified,Other,999.0,999.0,,
000000001830800484,FERRITE 220Ohm@100MHz 2000mA 0603,Unclassified,Other,999.0,999.0,,
000000001830800489,IND 470NH 0603 2.6A 20% 0.054OHM,Unclassified,Other,999.0,999.0,,
000000001830800494,IND 470 OHM 0201 0.175A FILTER CHIP,Unclassified,Other,999.0,999.0,,
000000001830800497,FIXED IND 470NH 1.2A 140 MOHM 0402,Unclassified,Other,999.0,999.0,,
000000001830800498,(EOL)FIXED IND 1UH 1.8A 120 MOHM 0603,Unclassified,Other,999.0,999.0,,
000000001830800500,FIXED IND 1UH 1.8A 95 MOHM 0603 SMD,Unclassified,Other,999.0,999.0,,
000000001830800503,Ferrite Bead 220 Ohms @ 100MHz 0603 2.5A,Unclassified,Other,999.0,999.0,,
000000001830800521,FIXED IND 1.5uH 1.6A 70mOhms,Unclassified,Other,999.0,999.0,,
000000001830800522,FIXED IND 1.5UH 6.5A 8.1MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800523,FIXED IND 2.2UH 1.7A 47MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800524,FIXED IND 1UH 3A 45MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800525,FERRITE BEAD 600OHM 0603 200mA,Unclassified,Other,999.0,999.0,,
000000001830800526,FERRITE BEAD 33OHM 1206 6A,Unclassified,Other,999.0,999.0,,
000000001830800528,FERRITE BEAD 600OHM 0603 1.3A,Unclassified,Other,999.0,999.0,,
000000001830800529,FERRITE BEAD 22OHM 0603 7.5A,Unclassified,Other,999.0,999.0,,
000000001830800530,FERRITE BEAD 220OHM 0402 1A,Unclassified,Other,999.0,999.0,,
000000001830800531,FIXED IND 2.2UH 1.2A 292MOHM SMD,Unclassified,Other,999.0,999.0,,
000000001830800535,FIXED IND 2.2UH 5.2A 35 MOHM,Unclassified,Other,999.0,999.0,,
000000001830800536,FIXED IND 220NH 5.9A 12.5MOHM,Unclassified,Other,999.0,999.0,,
000000001830800542,FIXED IND 4.7UH ±20% 620MA 550MOHM  0603,Unclassified,Other,999.0,999.0,,
000000001830800549,IND-240NH 5.4A 20MOHM 0805,Unclassified,Other,999.0,999.0,,
